"title","author","recipient","description","iso.date","type","tag","extent","wms","uri","doi","relation","publisher","rights","image_url"
"Still, W[illia]m, letter, 31 North Fifth Street, Philadelphia, August 7, 1850, to [James O? Cousins, Cincinnati, Ohio]","Still, William, 1821-1902","","William Still relates the story of Peter Freedman [Peter Still] coming to William Still's office in Philadelphia to learn how to locate relatives; notes the writer's realization and amazement that Peter was one of his ""long absent brothers""; and states that Peter has thus located various family members: his mother, five brothers and three sisters. This item is labeled in ink as if addressed to ""Peter Freedman,"" with an added notation in pencil regarding its transmittal to Cousins.","1850-08-07","Text","Correspondence","3 p.","rutgers-lib:25775","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051244","doi:10.7282/T36110JV","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/25775.pdf"
"Still, W[illia]m, letter, Anti Slavery Office, Philadelphia, May 10, 1852, to Peter [Still]:","Still, William, 1821-1902","Still, Peter, b.1801 (Recipient)","William Still relates that he has been too busy to visit Peter Still; notes why Peter has presumably not visited Philadelphia; comments that Peter's family truly is interested in his desire to emancipate his enslaved relatives (but can do little to help); entreats Peter to trust in God; and relates family news.","1852-05-10","Text","Correspondence","3 p.","rutgers-lib:25783","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051241","doi:10.7282/T3FJ2H0M","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/25783.pdf"
"Thornton, Lewis B., letter, Tuscumbia, Ala., August 19, 1852, to H.N. Ely.:","Thornton, Lewis B.,","Ely, H. N.,  (Recipient)","Lewis B. Thornton reports on an interview that he had with Mr. McKiernan in which the latter stated that he would not separate the enslaved [Still] family members that he owns and that McKiernan he has agreed to let this family go, but only for a minimum of 5,000 dollars, which Thornton considers to be a high price.","1852-08-19","Text","Correspondence","2 p.","rutgers-lib:25776","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051247","doi:10.7282/T39S1R7F","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/25776.pdf"
"Parrish, Joseph, letter, Burlington, N.J., October 5, 1852, to ""Cousin John"" [John P. Robinson?]:","Parrish, Joseph, 1818-1891","","Letter of introduction for Peter Still written by Joseph Parrish. This item includes an annotation by John P. Robinson, Boston, January 3, 1853, identifying Parrish as “a distinguished physician of New Jersey.”","1852-10-05","Text","Correspondence","2 p.","rutgers-lib:26726","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051484","doi:10.7282/T3KD1Z1X","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26726.pdf"
"S[till], W[illia]m, letter, A[nti] S[lavery] Office, Philadelphia, October 12, 1852, to Peter [Still], [in New Jersey]:","Still, William, 1821-1902","","William Still inquires about Peter Still’s progress toward freeing his family members from slavery, including whether or not their owner Mr. McKeirnon [sic] has agreed to lower the price asked to 3,000 dollars and whether or not Peter has identified how helpful his New Jersey friends can be in the matter; transmits a letter [not present] from Mrs. Reynolds that was sent to Mr. McKim by the Rev. S.J. May of Syracuse; and comments about a disagreement within the Still family regarding financial matters apparently related to property in which Peter Still might reasonably share an interest.","1852-10-12","Text","Correspondence","2 p.","rutgers-lib:26727","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051485","doi:10.7282/T3Q52PR7","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26727.pdf"
"Boudinot, E.E., letter, Burlington, [N.J.], November 6, 1852:","Boudinot, Elias E., 1791-1863","","Letter of recommendation for Peter Still written by E.E. Boudinot, who reports that he has known Still for two years and has employed him for “some months past,” together with an added recommendation by Mary A. Buckman, who notes that Still was in her employ for ten months. This item includes an annotation by Cortlandt Van Rensselaer, Burlington, N.J., November 6, 1852, identifying Boudinot and commenting on his standing within the local community.","1852-11-06","Text","Correspondence","2 p.","rutgers-lib:26728","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051486","doi:10.7282/T3TX3FH3","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26728.pdf"
"Pickard, Kate E.R., letter, Camillus, Onondaga Co., N.Y., November 19 [or 17] 1852, to Mr. [Samuel J.] May, [Syracuse, N.Y.]:","Pickard, Kate E. R.","","Kate Pickard expresses her delight at seeing Peter Still and at his freedom from slavery; relates her knowledge of Still (his circumstances, character and abilities) when she taught in Alabama at the Tuscumbia Female Seminary in 1847, and then while living in the vicinity until April 1850; laments that his family members remain slaves; notes that apparently only money can free them (although some people object in principle to such payments); suggests that, by market prices, the cost of their freedom should not be higher than 3,000 dollars (instead of the unnamed figure requested); notes that she has a friend in Alabama that might be able to negotiate for a better price; and notes that she will confer with the recipient, Samuel J. May, on the matter soon when she visits Syracuse.","1852-11-17","Text","Correspondence","4 p.","rutgers-lib:26729","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051487","doi:10.7282/T3ZP4688","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26729.pdf"
"Still, W[illia]m, letter, Anti Slavery Office, Philadelphia, December 18, 1852, to Bro. [Peter Still]:","Still, William, 1821-1902","","William Still states that he has received news of the recipient, Peter Still, through the latter’s letter sent via the Rev. Samuel J. May (whom William regards as likely to be of great service in efforts to free Peter’s enslaved family members); confesses that he nearly despairs over the formidable task that Peter has set for himself in securing their freedom; provides an opinion of the amount of money that might be raised for this purpose in Philadelphia; encloses a letter [not present] from Mr. McKeirnon [sic]; notes that the Seth Conklin letters, one of which Peter requested, are at present with the Rev. W.H. Furness (who is writing up some of Conklin’s adventures [in the unsuccessful attempt to bring Peter’s family to freedom]); and reports that their mutual family members are well.","1852-12-18","Text","Correspondence","2 p.","rutgers-lib:26730","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051488","doi:10.7282/T33F4PR5","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26730.pdf"
"Stowe, H[arriet] B[eecher], note, [December 25, 1852]:","Stowe, Harriet Beecher, 1811-1896","","Harriet Beecher Stowe endorses Peter Still's fundraising effort (and apparently subscribes for $10.00) in a note that includes the added endorsement of Wm. B. Brown, Andover, [Mass.], December 25, 1852.","1852-12-25","Text","Correspondence","2 p.","rutgers-lib:26731","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000051489","doi:10.7282/T3736R2K","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26731.pdf"
"Memo book, 1853-1854.","Still, Peter, b. 1801","","Memo book kept by Peter Still (and written in by others) that: records sums of from 20 dollars to 1,055 dollars collected, in approximately 20 locations in New York, Maine, New Hampshire, Massachusetts, Rhode Island and Connecticut, toward the purchase of Still's enslaved wife and children; notes Still’s visit to Toronto (“for the pleasure of treading upon the ‘free Soil of this part of her Majesty’s Dominions’ of which he had heard so much; and to see how his brethren (the fugitives from Slavery) prospered”; lists the names and addresses of various people for Still to look up or whom he met; notes his limited expenses; and records three receipts for money that Still left on deposit with different persons. The memo book is stitched (bound without covers), with entries recorded from one end and, when flipped over, from the other end as well.","1853-01-01","Text","","27 p.","rutgers-lib:26929","http://hdl.rutgers.edu/1782.1/rucore00000002022.Manuscript.000052055","doi:10.7282/T3CC10TF","Peter Still papers, 1850-1875","Rutgers Community Repository (RUcore)","public domain","http://francescagiannetti.com/still/plugins/Dropbox/files/26929.pdf"
